# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,0.7,0.0003239428185973678,0,3.0,0.0009205050865641887,0.0,0.0,0.0
 0.08960527984515414,2.012043659264,0.700000068093269,0.0003239428185973678,0.2688158395354624,3.0,0.0009205050865641887,0.0,0.017070698676574556,0.0
 0.1269492552529035,2.024174170112,0.7000002716448056,0.0009614305701684673,0.38084776575871043,2.9999999999999996,0.0008937613021225053,0.0,0.021638982127424544,0.0
 0.15575800061756906,2.036390832128,0.7000006095622048,0.0015848224962279904,0.46727400185270723,3.000000000000003,0.0008680100223743601,0.0,0.024973284940004174,0.0
 0.18017203799257625,2.048692944896,0.7000010807530607,0.0021945212081299565,0.5405161139777288,3.0,0.0008432046687917554,0.0,0.02758570217780644,0.0
 0.20179165498155505,2.0610798079999997,0.7000016841249682,0.00279091352358617,0.6053749649446653,3.0000000000000027,0.0008193168955072146,0.0,0.029701351346824598,0.0
 0.22143580119441755,2.073550721024,0.7000024185855219,0.003374371212162793,0.6643074035832528,3.0000000000000013,0.0007963016247636377,0.0,0.03144636185043733,0.0
 0.23958990467558325,2.086104983552,0.7000032830423165,0.003945251719301814,0.7187697140267498,2.999999999999997,0.0007740962026546107,0.0,0.03290100285140599,0.0
 0.25656954260489256,2.098741895168,0.7000042764029464,0.004503898835229861,0.7697086278146779,3.000000000000005,0.0007526919084138396,0.0,0.03412062055091062,0.0
 0.27259341594658454,2.111460755456,0.7000053975750062,0.005050643337277585,0.8177802478397538,3.0,0.0007320266450563269,0.0,0.03514554456360657,0.0
 0.2878203887044491,2.124260864,0.7000066454660909,0.005585803586907937,0.8634611661133474,3.0,0.0007120929769639277,0.0,0.03600637254492098,0.0
 0.30237010510101936,2.137141520384,0.7000080189837947,0.006109686095905792,0.9071103153030582,2.999999999999996,0.0006928382734027706,0.0,0.03672704221749047,0.0
 0.31633529108924807,2.150102024192,0.7000095170357125,0.006622586071270573,0.9490058732677442,2.999999999999992,0.000674228192784585,0.0,0.03732673499896273,0.0
 0.32978950407757207,2.163141675008,0.7000111385294386,0.007124787914105346,0.9893685122327162,2.999999999999996,0.0006562568612404757,0.0,0.037821120213202615,0.0
 0.3427922335015817,2.176259772416,0.700012882372568,0.007616565706750561,1.028376700504745,2.9999999999999956,0.0006388908457834781,0.0,0.03822319977027456,0.0
 0.3553923810281729,2.189455616,0.7000147474726949,0.008098183662794387,1.0661771430845186,3.0000000000000044,0.0006220870706671915,0.0,0.03854390404085372,0.0
 0.36763070803165354,2.2027285053440004,0.7000167327374143,0.008569896564437133,1.1028921240949605,2.9999999999999956,0.0006058408628289961,0.0,0.03879252154691292,0.0
 0.37954160165972395,2.216077740032,0.7000188370743206,0.009031950162147043,1.1386248049791716,2.9999999999999907,0.0005901190433822078,0.0,0.03897702012320373,0.0
 0.3911543777807606,2.229502619648,0.7000210593910084,0.009484581570702949,1.1734631333422818,3.000000000000014,0.0005748981058495256,0.0,0.039104287942079846,0.0
 0.4024942610077367,2.2430024437760006,0.7000233985950723,0.009928019629640183,1.20748278302321,2.9999999999999902,0.0005601546232645235,0.0,0.03918032169489636,0.0
 0.41358313445807615,2.256576512,0.7000258535941072,0.010362485258658478,1.2407494033742281,2.999999999999985,0.0005458853589383598,0.0,0.03921037190614887,0.0
 0.42444012204956516,2.270224123904,0.7000284232957074,0.010788191779901205,1.2733203661486951,3.0,0.0005320572852025983,0.0,0.03919906118219013,0.0
 0.4350820468513668,2.283944579072,0.7000311066074677,0.011205345241303295,1.3052461405541,2.9999999999999947,0.0005186574770207419,0.0,0.03915047660496397,0.0
 0.4455237962503063,2.297737177088,0.7000339024369825,0.011614144706861373,1.3365713887509185,3.0,0.0005056629117340414,0.0,0.039068247933944825,0.0
 0.45577861606321485,2.3116012175360003,0.7000368096918467,0.012014782549830013,1.367335848189644,2.9999999999999893,0.0004930608867855667,0.0,0.03895560870276596,0.0
 0.4658583497741771,2.325536,0.7000398272796545,0.012407444712102339,1.3975750493225307,2.999999999999989,0.0004808389058527988,0.0,0.03881545062236971,0.0
 0.47577363489691865,2.339540824064,0.700042954108001,0.012792310972190829,1.4273209046907553,3.0,0.00046897395486929287,0.0,0.03865036528000588,0.0
 0.48553406548138506,2.353614989312,0.7000461890844806,0.013169555179570597,1.4566021964441545,2.9999999999999885,0.00045745353181406894,0.0,0.03846268271849097,0.0
 0.4951483276252979,2.367757795328,0.7000495311166878,0.013539345493984316,1.485444982875893,3.0000000000000058,0.0004462761522271941,0.0,0.03825450209582373,0.0
 0.5046243132677966,2.381968541696,0.7000529791122174,0.013901844606605276,1.5138729398033888,2.9999999999999765,0.0004354188049937191,0.0,0.03802771806394378,0.0
 0.5139692163658136,2.3962465280000007,0.7000565319786639,0.014257209946951543,1.5419076490974397,2.999999999999976,0.0004248692180882764,0.0,0.03778404494074637,0.0
 0.5231896146698637,2.4105910538240005,0.7000601886236221,0.014605593890843354,1.56956884400959,3.000000000000012,0.00041461513626987246,0.0,0.03752503515607099,0.0
 0.5322915396446836,2.425001418752,0.7000639479546863,0.01494714394551139,1.5968746189340497,3.0,0.00040465567597090975,0.0,0.037252097945382985,0.0
 0.5412805365654406,2.439476922368,0.7000678088794513,0.015282002939234178,1.623841609696321,3.000000000000025,0.0003949673937018393,0.0,0.03696651323512496,0.0
